Journal title,Eligible,NLM TA,pISSN,eISSN,Publisher,LOCATORplus ID,Latest issue,Earliest volume,Free access,Open access,Participation level, Deposit status, Journal URL
Journal of Clinical and Diagnostic Research : JCDR,0,J Clin Diagn Res,2249-782X,0973-709X,JCDR Research &#x0026; Publications Private Limited,101488993,v.11(9);Sep 2017,v.6;2012,,No, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/1866/
The Journal of Clinical Endocrinology and Metabolism,0,J Clin Endocrinol Metab,0021-972X,1945-7197,The Endocrine Society,375362,v.104(3);Mar 2019,v.93;2008,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Clin+Endocrinol+Metab%22%5Bjournal%5D
Journal of Clinical and Experimental Dentistry,0,J Clin Exp Dent,,1989-5488,Medicina Oral S.L,101603132,v.11(1);Jan 2019,v.4;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2157/
Journal of Clinical and Experimental Hepatology,0,J Clin Exp Hepatol,0973-6883,2213-3453,Elsevier,101574137,v.8(4);Dec 2018,v.1;2011,12 months,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2306/
Journal of Clinical Imaging Science,0,J Clin Imaging Sci,2156-7514,2156-5597,Wolters Kluwer -- Medknow Publications,101564708,v.8;2018,v.1;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1584/
The Journal of Clinical Investigation,0,J Clin Invest,0021-9738,1558-8238,American Society for Clinical Investigation,7802877,"v.129(1);Jan 2, 2019",v.1;1924,3 months or more,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/120/
Journal of Clinical Medicine,0,J Clin Med,,2077-0383,Multidisciplinary Digital Publishing Institute  (MDPI),101606588,v.8(1);Jan 2019,v.1;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2745/
Journal of Clinical Medicine Research,0,J Clin Med Res,1918-3003,1918-3011,Elmer Press,101538301,v.11(2);Feb 2019,v.1;2009,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1471/
Journal of Clinical Microbiology,0,J Clin Microbiol,0095-1137,1098-660X,American Society for Microbiology (ASM),7505564,v.57(2);Feb 2019,v.1;1975,6 months or less,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/81/
Journal of Clinical Movement Disorders,0,J Clin Mov Disord,,2054-7072,BioMed Central,101662043,v.5;2018,v.1;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2872/
Journal of Clinical Neonatology,0,J Clin Neonatol,2249-4847,1658-6093,Wolters Kluwer -- Medknow Publications,101605525,v.3(2);Apr-Jun 2014,v.1;2012,,All, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/2109/
"Journal of Clinical Neurology (Seoul, Korea)",0,J Clin Neurol,1738-6586,2005-5013,Korean Neurological Association,101252374,v.15(1);Jan 2019,v.1;2005,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/905/
Journal of Clinical Oncology,0,J Clin Oncol,0732-183X,1527-7755,American Society of Clinical Oncology,8309333,"v.37(4);Feb 1, 2019",v.26;2008,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Clin+Oncol%22%5Bjournal%5D
Journal of Clinical Orthopaedics and Trauma,0,J Clin Orthop Trauma,0976-5662,2213-3445,Elsevier,101559469,v.10(1);Jan-Feb 2019,v.3;2012,12 months,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2270/
Journal of Clinical Pathology,0,J Clin Pathol,0021-9746,1472-4146,BMJ Publishing Group,376601,v.60(12);Dec 2007,v.1;1947,,No, Full , Now Select ,http://www.ncbi.nlm.nih.gov/pmc/journals/162/
Journal of Clinical Pathology. Supplement (Association of Clinical Pathologists),0,J Clin Pathol Suppl (Assoc Clin Pathol),0144-0349,,BMJ Publishing Group,217241,v.8;1978,v.2;1969,Immediate,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/266/
Journal of Clinical Pathology. Supplement (Royal College of Pathologists),0,J Clin Pathol Suppl (R Coll Pathol),0144-0330,,BMJ Publishing Group,8300543,v.14;1980,v.4;1970,Immediate,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/267/
Journal of Clinical Pathology. Supplement (College of Pathologists),0,J Clin Pathol Suppl Coll Pathol,,,BMJ Publishing Group,101273195,v.3;1969,v.3;1969,Immediate,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/422/
Journal of Clinical Research in Pediatric Endocrinology,0,J Clin Res Pediatr Endocrinol,1308-5727,1308-5735,Galenos Yayinevi,101519456,v.10(4);Dec 2018,v.1;2008,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1419/
Journal of Clinical Sleep Medicine : JCSM : Official Publication of the American Academy of Sleep Medicine,0,J Clin Sleep Med,1550-9389,1550-9397,American Academy of Sleep Medicine,101231977,"v.15(1);Jan 15, 2019",v.3;2007,6 months,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/368/
Journal of Clinical &#x0026; Translational Endocrinology,0,J Clin Transl Endocrinol,,2214-6237,Elsevier,101629335,v.15;Mar 2019,v.1;2014,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3315/
Journal of Clinical and Translational Hepatology,0,J Clin Transl Hepatol,2225-0719,2310-8819,Xia &#x0026; He Publishing Inc. (USA),101649815,"v.6(4);Dec 28, 2018",v.1;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2787/
The Journal of the College of General Practitioners,0,J Coll Gen Pract,0307-4749,,Royal College of General Practitioners,7503074,v.13(2);Mar 1967,v.3;1960,Immediate,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/263/
Journal of the College of General Practitioners and Research Newsletter,0,J Coll Gen Pract Res Newsl,,,Royal College of General Practitioners,135663,v.2(4);Nov 1959,v.1;1958,Immediate,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/443/
Journal of Community Genetics,0,J Community Genet,1868-310X,1868-6001,Springer,101551501,v.10(1);Jan 2019,v.1;2010,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1593/
Journal of Community Hospital Internal Medicine Perspectives,0,J Community Hosp Intern Med Perspect,,2000-9666,Taylor &#x0026; Francis,101601396,v.8(6);2018,v.1;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2124/
Journal of Comorbidity,0,J Comorb,,2235-042X,SAGE Publications,101693146,v.8(1);Jan-Dec 2018,v.1;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3242/
Journal of Comparative Effectiveness Research,0,J Comp Eff Res,2042-6305,2042-6313,Future Science Group,101577308,v.7(9);Sep 2018,v.4;2015,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Comp+Eff+Res%22%5Bjournal%5D
Journal of Computational Biology,0,J Comput Biol,1066-5277,1557-8666,"Mary Ann Liebert, Inc.",9433358,"v.26(1);Jan 1, 2019",v.15;2008,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Comput+Biol%22%5Bjournal%5D
Journal of Computing and Information Science in Engineering,0,J Comput Inf Sci Eng,1530-9827,1944-7078,American Society of Mechanical Engineers,101629425,v.18(2);Jun 2018,v.12;2012,12 months,No, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Comput+Inf+Sci+Eng%22%5Bjournal%5D
Journal of Computational and Nonlinear Dynamics,0,J Comput Nonlinear Dyn,1555-1415,1555-1423,American Society of Mechanical Engineers,101629392,v.11(2);Mar 2016,v.8;2013,12 months,No, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Comput+Nonlinear+Dyn%22%5Bjournal%5D
Journal of Conservative Dentistry : JCD,0,J Conserv Dent,0972-0707,0974-5203,Wolters Kluwer -- Medknow Publications,101147009,v.21(6);Nov-Dec 2018,v.11;2008,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1152/
Journal of Contemporary Brachytherapy,0,J Contemp Brachytherapy,1689-832X,2081-2841,Termedia Publishing,101506276,v.10(6);Dec 2018,v.1;2009,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1978/
Journal of Craniovertebral Junction &#x0026; Spine,0,J Craniovertebr Junction Spine,0974-8237,0976-9285,Wolters Kluwer -- Medknow Publications,101536746,v.9(3);Jul-Sep 2018,v.1;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1311/
The Journal of Critical Care Medicine,0,J Crit Care Med (Targu Mures),2393-1809,2393-1817,De Gruyter Open,101706934,v.4(4);Oct 2018,v.1;2015,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3374/
Journal of Crohn's &#x0026; Colitis,0,J Crohns Colitis,1873-9946,1876-4479,Oxford University Press,101318676,v.13(1);Jan 2019,v.9;2015,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Crohns+Colitis%22%5Bjournal%5D
Journal of Current Glaucoma Practice,0,J Curr Glaucoma Pract,0974-0333,0975-1947,Jaypee Brothers Medical Publishing (P) Ltd.,101492611,v.12(2);May-Aug 2018,v.6;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2907/
Journal of Current Ophthalmology,0,J Curr Ophthalmol,,2452-2325,Elsevier,101678509,v.30(4);Dec 2018,v.27;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3003/
Journal of Cutaneous and Aesthetic Surgery,0,J Cutan Aesthet Surg,0974-2077,0974-5157,Wolters Kluwer -- Medknow Publications,101525405,v.11(3);Jul-Sep 2018,v.1;2008,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1192/
Journal of Cytology,0,J Cytol,0970-9371,0974-5165,Wolters Kluwer -- Medknow Publications,8915204,v.35(4);Oct-Dec 2018,v.26;2009,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1333/
The Journal of Deaf Studies and Deaf Education,0,J Deaf Stud Deaf Educ,1081-4159,1465-7325,Oxford University Press,9889915,v.24(1);Jan 2019,v.13;2008,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Deaf+Stud+Deaf+Educ%22%5Bjournal%5D
Journal of Dentistry,0,J Dent (Shiraz),2345-6485,2345-6418,Shiraz University of Medical Sciences,101615440,v.19(4);Dec 2018,v.14;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2317/
"Journal of Dentistry (Tehran, Iran)",0,J Dent (Tehran),1735-2150,2008-2185,Tehran University of Medical Sciences,101233680,v.15(4);Jul 2018,v.7;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1614/
Journal of Dental Anesthesia and Pain Medicine,0,J Dent Anesth Pain Med,2383-9309,2383-9317,Korean Dental Society of Anesthesiology,101690691,v.18(6);Dec 2018,v.15;2015,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3248/
Journal of Dental Biomaterials,0,J Dent Biomater,2383-3971,2383-398X,Shiraz University of Medical Sciences,101657341,v.4(2);Jun 2017,v.3;2016,,All, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/3258/
Journal of Dental Biomechanics,0,J Dent Biomech,,1758-7360,SAGE Publications,101538879,v.6;2015,v.2010;2010,,All, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/1317/
Journal of Dental Research,0,J Dent Res,0022-0345,1544-0591,International and American Associations for Dental Research,354343,v.98(1);Jan 2019,v.88;2009,12 months,No, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Dent+Res%22%5Bjournal%5D
"Journal of Dental Research, Dental Clinics, Dental Prospects",0,J Dent Res Dent Clin Dent Prospects,2008-210X,2008-2118,Tabriz University of Medical Sciences,101576035,v.12(3);Summer 2018,v.1;2007,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1889/
Journal of Dermatological Case Reports,0,J Dermatol Case Rep,,1898-7249,Spejali&#x015b;ci Dermatolodzy,101493700,"v.11(2);Dec 1, 2017",v.1;2007,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1565/
Journal of Developmental Biology,0,J Dev Biol,,2221-3759,Multidisciplinary Digital Publishing Institute  (MDPI),101613409,v.6(4);Dec 2018,v.4;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3414/
Journal of Diabetes Investigation,0,J Diabetes Investig,2040-1116,2040-1124,Wiley-Blackwell,101520702,v.10(1);Jan 2019,v.1;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2358/
Journal of Diabetes and Metabolic Disorders,0,J Diabetes Metab Disord,,2251-6581,Springer,101590741,v.17(1);Jun 2018,v.11;2012,12 months,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2031/
Journal of Diabetes Research,0,J Diabetes Res,2314-6745,2314-6753,Hindawi Limited,101605237,v.2019;2019,v.2013;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2082/
Journal of Diabetes Science and Technology,0,J Diabetes Sci Technol,,1932-2968,Diabetes Technology Society,101306166,v.13(1);Jan 2019,v.1;2007,12 months,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/967/
Journal of Digital Imaging,0,J Digit Imaging,0897-1889,1618-727X,Springer,9100529,v.31(6);Dec 2018,v.10;1997,12 months or less,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1429/
Journal of Drug Assessment,0,J Drug Assess,,2155-6660,Taylor &#x0026; Francis,101672979,v.8(1);2019,v.1;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2957/
Journal of Drug Delivery,0,J Drug Deliv,2090-3014,2090-3022,Hindawi Limited,101553818,v.2018;2018,v.2011;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1491/
"Journal of Dynamic Systems, Measurement, and Control",0,J Dyn Syst Meas Control,0022-0434,1528-9028,American Society of Mechanical Engineers,100971391,v.140(8);Aug 2018,v.135;2013,12 months,No, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Dyn+Syst+Meas+Control%22%5Bjournal%5D
Journal of Eating Disorders,1,J Eat Disord,,2050-2974,BioMed Central,101610672,v.7;2019,v.1;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2199/
Journal of Economic Entomology,0,J Econ Entomol,0022-0493,1938-291X,Oxford University Press,2985127R,v.111(6);Dec 2018,v.106;2013,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Econ+Entomol%22%5Bjournal%5D
Journal of Educational Evaluation for Health Professions,0,J Educ Eval Health Prof,,1975-5937,National Health Personnel Licensing Examination Board of the Republic of Korea,101490061,v.16;2019,v.3;2006,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/834/
Journal of Education and Health Promotion,0,J Educ Health Promot,2277-9531,2319-6440,Wolters Kluwer -- Medknow Publications,101593794,v.7;2018,v.1;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1984/
The Journal of Education in Perioperative Medicine : JEPM,0,J Educ Perioper Med,,2333-0406,Society for Education in Anesthesia,101122652,v.20(3);Jul-Sep 2018,v.1;1999,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2860/
Journal of Electron Microscopy,0,J Electron Microsc (Tokyo),0022-0744,1477-9986,Oxford University Press,7611157,v.60(2);Apr 2011,v.59;2010,12 months,No, NIH Portfolio , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Electron+Microsc+(Tokyo)%22%5Bjournal%5D
Journal of Electronic Packaging,0,J Electron Packag,1043-7398,1528-9044,American Society of Mechanical Engineers,101629427,v.138(2);Jun 2016,v.135;2013,12 months,No, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Electron+Packag%22%5Bjournal%5D
"Journal of Emergencies, Trauma, and Shock",0,J Emerg Trauma Shock,0974-2700,0974-519X,Wolters Kluwer -- Medknow Publications,101493921,v.11(4);Oct-Dec 2018,v.1;2008,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/913/
Journal of the Endocrine Society,0,J Endocr Soc,,2472-1972,The Endocrine Society,101697997,"v.3(2);Feb 1, 2019",v.1;2017,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3254/
Journal of Endourology,0,J Endourol,0892-7790,1557-900X,"Mary Ann Liebert, Inc.",8807503,"v.33(1);Jan 1, 2019",v.22;2008,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Endourol%22%5Bjournal%5D
Journal of Endourology Case Reports,0,J Endourol Case Rep,,2379-9889,"Mary Ann Liebert, Inc.",101684114,v.4(1);2018,v.1;2015,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3068/
Journal of Endovascular Therapy,0,J Endovasc Ther,1526-6028,1545-1550,SAGE Publications,100896915,v.24(3);Jun 2017,v.15;2008,Immediate,No, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Endovasc+Ther%22%5Bjournal%5D
Journal of Energy Resources Technology,0,J Energy Resour Technol,0195-0738,1528-8994,American Society of Mechanical Engineers,101595870,v.135(4);Dec 2013,v.135;2013,12 months,No, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Energy+Resour+Technol%22%5Bjournal%5D
Journal of Engineering for Gas Turbines and Power,0,J Eng Gas Turbine Power,0742-4795,1528-8919,American Society of Mechanical Engineers,101629430,v.136(11);Nov 2014,v.135;2013,12 months,No, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Eng+Gas+Turbine+Power%22%5Bjournal%5D
Journal of Engineering Materials and Technology,0,J Eng Mater Technol,0094-4289,1528-8889,American Society of Mechanical Engineers,101550468,v.135(2);Apr 2013,v.135;2013,12 months,No, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Eng+Mater+Technol%22%5Bjournal%5D
Journal of Environmental Health Science and Engineering,0,J Environ Health Sci Eng,,2052-336X,Springer,101613643,v.16(2);Dec 2018,v.11;2013,12 months,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2203/
Journal of Environmental and Public Health,0,J Environ Public Health,1687-9805,1687-9813,Hindawi Limited,101516361,v.2019;2019,v.2009;2009,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/997/
Journal of Enzyme Inhibition and Medicinal Chemistry,0,J Enzyme Inhib Med Chem,1475-6366,1475-6374,Taylor &#x0026; Francis,101150203,v.34(1);2019,v.32;2017,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3428/
Journal of Epidemiology,0,J Epidemiol,0917-5040,1349-9092,Japan Epidemiological Association,9607688,v.29(2);2019,v.18;2008,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2072/
Journal of Epidemiology and Community Health,0,J Epidemiol Community Health,0141-7681,,BMJ Publishing Group,7806055,v.32(4);Dec 1978,v.32;1978,Immediate,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/190/
Journal of Epidemiology and Community Health,0,J Epidemiol Community Health,0143-005X,1470-2738,BMJ Publishing Group,7909766,v.61(12);Dec 2007,v.33;1979,,No, Full , Now Select ,http://www.ncbi.nlm.nih.gov/pmc/journals/165/
Journal of Epilepsy Research,0,J Epilepsy Res,2233-6249,2233-6257,Korean Epilepsy Society,101577886,v.8(1);Jun 2018,v.1;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2340/
Journal of Equine Science,0,J Equine Sci,1340-3516,1347-7501,Japanese Society of Equine Science,9503751,v.29(4);Dec 2018,v.19;2008,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2407/
Journal of Ethnobiology and Ethnomedicine,0,J Ethnobiol Ethnomed,,1746-4269,BioMed Central,101245794,v.15;2019,v.1;2005,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/351/
Journal of European CME,0,J Eur CME,,2161-4083,Taylor &#x0026; Francis,101691422,v.7(1);2018,v.5;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3420/
Journal of Evidence-based Complementary &#x0026; Alternative Medicine,0,J Evid Based Complementary Altern Med,2156-5872,2156-5899,SAGE Publications,101556804,v.22(4);Oct 2017,v.22;2017,Immediate,Some, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/3422/
Journal of Evidence-based Integrative Medicine,0,J Evid Based Integr Med,,2515-690X,SAGE Publications,101719675,v.24;2019,v.23;2018,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3423/
Journal of Exercise Nutrition &#x0026; Biochemistry,0,J Exerc Nutrition Biochem,2233-6834,2233-6842,Korean Society for Exercise Nutrition,101572566,"v.22(4);Dec 31, 2018",v.17;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2634/
Journal of Exercise Rehabilitation,0,J Exerc Rehabil,2288-176X,2288-1778,Korean Society of Exercise Rehabilitation,101615171,v.14(6);Dec 2018,v.9;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2228/
Journal of Exercise Science and Fitness,0,J Exerc Sci Fit,1728-869X,2226-5104,The Society of Chinese Scholars on Exercise Physiology and Fitness,101198241,v.17(1);Jan 2019,v.13;2015,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3321/
Journal of the Experimental Analysis of Behavior,1,J Exp Anal Behav,0022-5002,1938-3711,Society for the Experimental Analysis of Behavior,203727,v.98(3);Nov 2012,v.1;1958,,No, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/299/
The Journal of Experimental Biology,0,J Exp Biol,0022-0949,1477-9145,Company of Biologists,243705,"v.222(1);Jan 1, 2019",v.212;2009,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Exp+Biol%22%5Bjournal%5D
Journal of Experimental Botany,0,J Exp Bot,0022-0957,1460-2431,Oxford University Press,9882906,"v.70(2);Jan 15, 2019",v.59;2008,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Exp+Bot%22%5Bjournal%5D
Journal of Experimental &#x0026; Clinical Assisted Reproduction,0,J Exp Clin Assist Reprod,,1743-1050,Sims Institute Press Ltd.,101230714,v.8;2011,v.1;2004,,All, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/274/
Journal of Experimental &#x0026; Clinical Cancer Research : CR,0,J Exp Clin Cancer Res,0392-9078,1756-9966,BioMed Central,8308647,v.38;2019,v.27;2008,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/618/
The Journal of Experimental Medicine,0,J Exp Med,0022-1007,1540-9538,The Rockefeller University Press,2985109R,"v.216(2);Feb 4, 2019",v.1;1896,6 months,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/483/
Journal of Experimental Neuroscience,0,J Exp Neurosci,,1179-0695,SAGE Publications,101517658,v.13;2019,v.7;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2511/
Journal of Experimental Orthopaedics,0,J Exp Orthop,,2197-1153,Springer-Verlag,101653750,v.6;Dec 2019,v.1;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2776/
"Journal of Experimental Pathology (Oxford, England)",0,J Exp Pathol (Oxford),0958-4625,,Wiley-Blackwell,9004579,v.71(3);Jun 1990,v.71;1990,Immediate,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/456/
Journal of Experimental Pharmacology,0,J Exp Pharmacol,,1179-1454,Dove Press,101530345,v.10;2018,v.1;2009,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2982/
The Journal of Extra-corporeal Technology,0,J Extra Corpor Technol,0022-1058,,American Society of Extra-Corporeal Technology,267637,v.50(4);Dec 2018,v.37;2005,6 months,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2798/
Journal of Extracellular Vesicles,0,J Extracell Vesicles,,2001-3078,Taylor &#x0026; Francis,101610479,v.8(1);2019,v.1;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2180/
The Journal of Family Practice,0,J Fam Pract,0094-3509,1533-7294,Frontline Medical Communications Inc.,7502590,v.67(12);Dec 2018,v.56;2007,Immediate,No, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Fam+Pract%22%5Bjournal%5D
Journal of Family &#x0026; Community Medicine,0,J Family Community Med,1319-1683,2229-340X,Wolters Kluwer -- Medknow Publications,100911100,v.26(1);Jan-Apr 2019,v.1;1994,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1461/
Journal of Family Medicine and Primary Care,0,J Family Med Prim Care,2249-4863,2278-7135,Wolters Kluwer -- Medknow Publications,101610082,v.7(6);Nov-Dec 2018,v.1;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2192/
Journal of Family &#x0026; Reproductive Health,0,J Family Reprod Health,1735-8949,1735-9392,Tehran University of Medical Sciences,101496684,v.12(1);Mar 2018,v.7;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2500/
Journal of Fluids Engineering,0,J Fluids Eng,0098-2202,1528-901X,American Society of Mechanical Engineers,101551830,v.140(10);Oct 2018,v.134;2012,12 months,No, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Fluids+Eng%22%5Bjournal%5D
Journal of Food Science and Technology,0,J Food Sci Technol,0022-1155,0975-8402,Springer,56471,v.56(1);Jan 2019,v.47;2010,12 months or less,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1466/
Journal of Foot and Ankle Research,0,J Foot Ankle Res,,1757-1146,BioMed Central,101471610,v.12;2019,v.1;2008,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/700/
Journal of Forensic Dental Sciences,0,J Forensic Dent Sci,0975-1475,0975-2137,Wolters Kluwer -- Medknow Publications,101547241,v.10(1);Jan-Apr 2018,v.2;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1422/
The Journal of Forensic Odonto-stomatology,0,J Forensic Odontostomatol,0258-414X,2219-6749,International Organization of Forensic Odonto-Stomatology,8501421,v.36(1);May 2018,v.29;2011,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3322/
Journal of Fuel Cell Science and Technology,0,J Fuel Cell Sci Technol,1550-624X,1551-6989,American Society of Mechanical Engineers,101629432,v.11(5);Oct 2014,v.10;2013,12 months,No, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Fuel+Cell+Sci+Technol%22%5Bjournal%5D
